date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:21	4228/4228	---M--	200	added ('OK')	application/javascript	etag:%22538205d-1084-5b2beac5d7620%22	http://pxdraft.com/pxdemo/softon/static/vendor/appear/jquery.appear.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/appear/jquery.appear.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:24	565463/565463	---M--	200	added ('OK')	image/jpeg	etag:%225380ea1-8a0d7-5b2bea9d4592e%22	http://pxdraft.com/pxdemo/softon/static/img/blog-1.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/blog-1.jpg	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:27	3761/3761	---M--	200	added ('OK')	application/javascript	etag:%22538205e-eb1-5b2beac5feef1%22	http://pxdraft.com/pxdemo/softon/static/vendor/counter/jquery.countTo.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/counter/jquery.countTo.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:30	12462/12462	---M--	200	added ('OK')	application/javascript	etag:%22538206d-30ae-5b2beacbb9fc0%22	http://pxdraft.com/pxdemo/softon/static/vendor/typed/typed.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/typed/typed.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:37	81084/81084	---M--	200	added ('OK')	application/javascript	etag:%225382099-13cbc-5b2bead9d3a07%22	http://pxdraft.com/pxdemo/softon/static/vendor/bootstrap/js/bootstrap.bundle.min.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:40	42766/42766	---M--	200	added ('OK')	application/javascript	etag:%22538210c-a70e-5b2beaf674498%22	http://pxdraft.com/pxdemo/softon/static/vendor/owl-carousel/js/owl.carousel.min.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/owl-carousel/js/owl.carousel.min.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:42	20216/20216	---M--	200	added ('OK')	application/javascript	etag:%225382068-4ef8-5b2beac9bdecb%22	http://pxdraft.com/pxdemo/softon/static/vendor/magnific/jquery.magnific-popup.min.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/magnific/jquery.magnific-popup.min.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:45	4539/4539	---M--	200	added ('OK')	application/javascript	etag:%22538206e-11bb-5b2beacc10e62%22	http://pxdraft.com/pxdemo/softon/static/vendor/svginjector/svg-injector.min.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/svginjector/svg-injector.min.js	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:47	663470/663470	---M--	200	added ('OK')	image/jpeg	etag:%225380ea2-a1fae-5b2bea9f5950c%22	http://pxdraft.com/pxdemo/softon/static/img/blog-2.jpg	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/img/blog-2.jpg	(from http://pxdraft.com/pxdemo/softon/index.html)
14:47:48	35503/35503	---M--	200	added ('OK')	application/javascript	etag:%225382061-8aaf-5b2beac7a2204%22	http://pxdraft.com/pxdemo/softon/static/vendor/isotope/isotope.pkgd.min.js	/Users/yagneshmodh/Documents/Projects/Templates/startup1/pxdraft.com/pxdemo/softon/static/vendor/isotope/isotope.pkgd.min.js	(from http://pxdraft.com/pxdemo/softon/index.html)
